lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,entropy,%OPENCLASS
insight,insights,0.01,0.0,2,We are setting up this blog as a fast way to get Birkman Method insights up on the web for our clients.,35648,0,14,0.09140162,1.0
complicated,complicated,0.01,0.01,1,Way to complicated for me.,6139,3,2,0.093959555,1.0
preference,preferences,0.01,0.0,1,* made the tabs in the preferences XP correctly themed under Windows XP * revamped the Media Library preferences a bit * new experimental WMA9 input plugin * gen_jumpex updates from DrO * added 'Nuke library' action in Media Library * more upside down videos fixes * fixed crash if a plugin generated a pledit wm_windowposchanged on shutdown * fixed crash exploit in in_mod (thanks Peter Winter-Smith) *,35691,1,6,0.095017246,1.0
consequence,consequences,0.01,0.01,1,The 3 products mentioned are the addends of my life equation which consequences to my answer.,26954,31,12,0.095209281,1.0
sequence,sequenced,0.01,0.0,1,"Contains sequence for practically every organism that has any DNA sequenced, protein sequences, scientific journal references, etc.",29060,21,10,0.095970403,1.0
reason,reason,0.01,0.0,25,"Politically, I would love to meet Jimmy Carter, Winston Churchill, Woodrow Wilson or Saddam Hussein (I would at least TRY to reason with the man).",6970,6,25,0.099613512,1.0
reason,reason,0.01,0.0,25,"It was not the prestige he sought, he had tried to reason with the admin guy, it was the savings in time.",33219,4,12,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"they cannot be bargained with, they cannot be reasoned with, they don't feel remorse, or pity, or fear.",27591,9,11,0.099613512,1.0
reason,reasoned,0.01,0.0,25,He always reasoned “finances”.,35357,15,2,0.099613512,1.0
reason,reason,0.01,0.0,25,"'Come now, let us reason together,' says the Lord. '",34683,75,6,0.099613512,1.0
reason,reason,0.01,0.0,25,"I get that notion from the way people generally reason that science is about 'cold and hard facts', that 'reason is above belief', etc. etc.",24724,8,9,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"Then we reasoned, why do the same old thing?",22143,11,2,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"Speaking for the Court, Mr. Justice Frankfurter reasoned:    'The incidence of this enactment is to reduce the adult population of Michigan to reading only what is fit for children.",16759,873,8,0.099613512,1.0
reason,reason,0.01,0.0,25,"All I could reason for that feat is its difficult to place 2 huge domes on top of one another with lot of room in between and support them with only 4 pillars which form the end-points of the 4 aisles, with the plan of the building looking like a cross with a circle at the intersection of the cross.",3746,45,3,0.099613512,1.0
reason,reason,0.01,0.0,25,I tried to reason with them but they just took Will with them and kicked me out.,35217,3,3,0.099613512,1.0
reason,reason,0.01,0.0,25,"Actually, I tried to reason with this friend some 3 weeks ago.",39903,35,5,0.099613512,1.0
reason,reasoning,0.01,0.0,25,He was reasoning that they could just bond at home.,26931,24,2,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"Augh, basically, from that, I reasoned, 'women expect men to think like women in the way they relate with women.'",25006,8,8,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"The FCC reasoned that there was no violation because Bono was simply using the word 'fucking' as a superlative, not in a sexual way.",16758,3,2,0.099613512,1.0
reason,reason,0.01,0.0,25,I find myself trying to reason with... myself...,24581,4,5,0.099613512,1.0
reason,reason,0.01,0.0,25,We tried to reason with him and explain our side but it could not be done.,34353,18,3,0.099613512,1.0
reason,reason,0.01,0.0,25,"Now you the reader (all 2 of you), are probably baffled at why I can't just reason this out with the man.",17725,28,20,0.099613512,1.0
reason,reasoning,0.01,0.0,25,i tried reasoning with him.,32444,24,2,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"I admit, I'm not sure if I completely follow with Johnson's take on this, but it is certainly reasoned, and not as radical as Steve seems to want to portray.",22807,23,22,0.099613512,1.0
reason,reasoned,0.01,0.0,25,Those who drafted the standards reasoned that travelers are accustomed to submitting photographs and would find giving fingerprints to be intrusive.,38053,7,5,0.099613512,1.0
reason,reason,0.01,0.0,25,What at first seems easy on an intuitive basis become speciously difficult when we try to reason it out into thinking.,31145,24,16,0.099613512,1.0
reason,reasoned,0.01,0.0,25,A massive ego cannot be reasoned with!,16945,35,6,0.099613512,1.0
reason,reasoned,0.01,0.0,25,"Oh yeah, that's always been there , I reasoned.",24573,17,10,0.099613512,1.0
reason,reason,0.01,0.0,25,"We believe without questioning, we question without reason, we reason without purpose.",17737,9,8,0.099613512,1.0
reason,reason,0.01,0.0,25,I try not to reason that these people are more than likely con men.,20811,25,4,0.099613512,1.0
melbourne,melbourne,0.01,0.99,1,"*grumble* stupid thing...  anyway, won't be here a while, going to melbourne for the week, from tomorrow.",15991,3,18,0.101066964,1.0
michelle,MICHELLE,0.01,0.99,2,"For part two, BUG MICHELLE TAN FOR IT!!!",16573,33,5,0.105501572,1.0
michelle,micheLLe,0.01,0.99,2,yOke liNg aNd micheLLe i thiNk to buy LipiNg's bdaE preseNt..shuD be buYing a soFt toY..coZ hearD frOm yOkes,3795,6,3,0.105501572,1.0
pattern,patterned,0.01,0.0,3,"(Translation: 'Make it prettier, with darker colors and fancy marble-patterned designs.')",29137,24,15,0.10571513,1.0
pattern,patterned,0.01,0.0,3,"She does wear turquoise, dramatically draped black,  exotically patterned fabric, gold lame.",12743,39,11,0.10571513,1.0
pattern,patterned,0.01,0.0,3,"In Western philosophy, metaphysical reality is patterned after Plato’s world of perfect forms from which our senses draw a distorted image of the true reality.",10471,4,7,0.10571513,1.0
guilt,guilt,0.01,0.01,1,"Regardless, it happened, and I'm sad - but that doesn't give her  any  authority to disseminate BULLSHIT emails to the rest of the company trying to guilt us into giving money to a BULLSHIT cause that is trying to strip my freedoms.",5865,25,32,0.106669553,1.0
barry,barry,0.01,0.99,1,"christina aguilera or cher?) and you ask, 'who would you rather sleep with: barry melrose or chris berman?'",20462,2,18,0.110580845,1.0
musician,musicians,0.01,0.0,1,"They played the hits, they played album tracks such as NEW RELIGION and CARELESS MEMORIES with the energy that musicians half their age couldn't muster, and they played new songs that potentially rival the best of their back catalog.",8639,18,20,0.110598811,1.0
deed,deeds,0.02,0.0,1,"I envision John Kerry as a big Democratic Party Suggestion box and a Marionette puppet for Teddy Kennedy and his pals to funnel there thoughts through and act out there deeds for them because noone in America would vote for those clownshoes, unless we were in Bizzaroland.....",17870,20,30,0.113274303,1.0
knee,knee,0.01,0.01,3,"Soon, we reached our destination, i wanted to knee down and shout out loud.",34724,24,10,0.115359961,1.0
knee,knee,0.01,0.01,3,"but i wanna kick his ass and elbow his head and knee his stomach.. in short, i wanna see blood..",11241,9,11,0.115359961,1.0
knee,knee,0.01,0.01,3,"So Reno climbed over Cid, making sure to step on his feet, sit on his hands, hit him in the face, elbow him in the chest, crush his legs, and knee him in the groin as he did so.",11684,576,36,0.115359961,1.0
isa,isa,0.02,0.98,1,funny thing isa that ..i hear his voice while i wa reaing the short msg of him.,9906,5,2,0.117594666,1.0
careful,Careful,0.01,0.0,2,Careful's not really an adjective used to describe me.,13161,24,0,0.118345145,1.0
careful,CAREFUL,0.01,0.0,2,"Of course, the anceint words of folklore that have, in themselves, ended up wrapped within legends, ring true here ...    BE CAREFUL WHAT YOU ASK FOR, YOU MIGHT JUST GET IT!    until next time  Ka Kite Ano (see you again :D)",33000,31,-1,0.118345145,1.0
ear,ear,0.01,0.01,3,"Anyway, my daughter danced with a boy and came home grinning ear to ear and had a lovely evening.",28978,22,12,0.120234765,1.0
ear,ears,0.01,0.01,3,"They are a face to talk to - eyes that cannot see your pain, noses that cannot smell the fear, lips that cannot speak words you dont want to obey, ears that words fall deafly onto and no arms to reach out and comfort you lest you break down and tell all.",22291,22,37,0.120234765,1.0
ear,Ear,0.01,0.01,3,Was Big Ear some sort of robot?,31135,15,2,0.120234765,1.0
catchy,catchy,0.02,0.0,1,Man...how long did it take him to draft that catchy little phrase???,6728,6,11,0.12565805,1.0
allergic,allergic,0.02,0.0,1,"The Squid3188: and he was like, 'Allergies, man' The Squid3188: 'Well, what you allergic too?'",28096,7,21,0.12565805,1.0
convinced,convinced,0.02,0.0,2,"by the time i was able to fall asleep last night, i'd convinced myself that my score could range anywhere from 168-175.",24031,4,14,0.129233775,1.0
convinced,CONVINCED,0.02,0.0,2,CONVINCED that a Lion would be down there.,12597,15,0,0.129233775,1.0
whim,whims,0.02,0.0,1,"Whims...yes, whims you get...",27861,0,4,0.13110653,1.0
obedience,obedience,0.02,0.0,2,"I'm not very comfortable looking at all these texts that seem to be motivating me to obedience through the promise of a reward, and claim that I should eschew the offered reward in the interests of only obeying out of gratitude (which ultimately, is the will of God for our obedience",17040,16,17,0.13110653,1.0
obedience,obediences,0.02,0.0,2,It's nice to know that most of my customers will profess faith and be restrained by God's grace to the gospel obediences.,17010,7,23,0.13110653,1.0
fee,fees,0.01,0.01,1,consultancy fees r not FOC!!!,26462,4,1,0.131740075,1.0
camper,campers,0.02,0.0,1,especially when u are scolding yr cadets/campers its so sad.,34734,8,8,0.133039649,1.0
sleeve,sleeve,0.02,0.0,2,"You just unhook it, sleeve it and tag it and it is ready to be put on the rack.",34357,1,5,0.134029796,1.0
sleeve,sleeved,0.02,0.0,2,"I boarded and sleeved an entire box of comics last night, and I have two more to go.",17104,41,3,0.134029796,1.0
elegant,ELEGANT,0.02,0.0,1,You're ELEGANT sexy!,3904,0,-1,0.135036203,1.0
clarity,clarity,0.02,0.0,1,"Sam will probably want to clarity the theory himself, but it amounts to 'generally, bass players are the coolest looking person in the band'.",29785,17,5,0.137099479,1.0
switzerland,switzerland,0.02,0.98,1,well maybe there shall be a part 2 to this blog but until then all i have to say is i love the people on my bus to bits because they helped make the experience to switzerland more fun and exciting.. namely jovan the donkey and ian the llama.,10091,38,36,0.139232999,1.0
maryland,maryland,0.02,0.98,1,julz is going to maryland till Sunday,36195,27,4,0.139232999,1.0
reminder,Reminders,0.02,0.0,3,"My TEETH even hurt, it's so bad...  Reminders to me for next time's post: -Talk about the 'special guests' at school.",30723,3,11,0.141440543,1.0
reminder,Reminder,0.02,0.0,3,Reminder to self: breathe.,16500,9,0,0.141440543,1.0
reminder,Reminder,0.02,0.0,3,Reminder to self: incremental progress is the only progress there is.,16505,0,0,0.141440543,1.0
revision,revision,0.02,0.0,1,So like Tigers who pee to mark their territory and like artists who try to use brushes and colors to revision their worlds – we’re painting the whole house again.,12798,17,20,0.141440543,1.0
piece,pieced,0.01,0.01,13,"=) n the most touching part is, u actually pieced the puzzle yourself!",16531,3,10,0.143129476,1.0
piece,Piece,0.01,0.01,13,Tell him to run farther/Make him measure up/Decades longer than you/Piece it together/,34355,33,16,0.143129476,1.0
piece,piece,0.01,0.01,13,San Fran draws near and I try to piece together everything that I need to figure out by then or everything that I need to sort out.,35735,11,8,0.143129476,1.0
piece,piecing,0.01,0.01,13,and I'm slowly piecing together some of the scripts for later comics.,33666,2,4,0.143129476,1.0
piece,pieced,0.01,0.01,13,The other demon looked as though he was pieced together from the parts of other demons.,35062,9,8,0.143129476,1.0
piece,piece,0.01,0.01,13,"Been trying to piece up my jigjaw puzzle (a great lesson towards patience,...) too.",26450,3,3,0.143129476,1.0
piece,piece,0.01,0.01,13,"Well, after more than an hour of being bounced around 10 operators (but hey, at least they were people not automated systems), I finally was able to piece together the exact department that was dealing with my order.",24454,12,32,0.143129476,1.0
piece,piece,0.01,0.01,13,"The only road block we currently have is that Cory will be out for some time during the month of August doing family trips and I'm not fully sure when he'll get back, but we're going to try to piece things together soon enough.",33666,3,43,0.143129476,1.0
piece,piece,0.01,0.01,13,"reductions may be all we have to work with, but it is all we have when we begin to piece together a jigsaw puzzle.",23112,19,20,0.143129476,1.0
piece,piecing,0.01,0.01,13,*  We cannot reduce the subject our reality is one fixed image there you are in the morning facing forward the light sneaking in the window to your left the glass table refracts and begins color which falls into the covering of your face I salvage to this stationary lemon within this stilling day by afternoon I have left piecing the placement together looking now at a man with a clarinet or even a mandolin while the marble recalls your arm on my right shrinking with the only cloud in Spain crossing over our point of reference where we share this growing shadow across the street a staircase separates the length of waves allowing each angle to supplant the invented eye at first glance there are merely forms simple geometrical forms that openly represent captured,13505,1,61,0.143129476,1.0
piece,piecing,0.01,0.01,13,Im still piecing together everything very slowly and also adding a few new things as I go.,33487,1,3,0.143129476,1.0
piece,piece,0.01,0.01,13,"It was a very deep and meaningful movie, and I'm still trying to piece together what it was trying to say about the heart and motivation of man.",24366,13,15,0.143129476,1.0
piece,pieced,0.01,0.01,13,"Before that, the information is pieced together from journal entries and assumptions of temperatures and oxygen levels taken from ice cores.",1521,5,6,0.143129476,1.0
surprising,surprising,0.01,0.01,1,"but definitely, there were great memories from this trip (like will surprising me when i woke up monday morning for my bday!).",37144,531,13,0.143922897,1.0
frustration,frustration,0.01,0.01,2,"Jacob: i would like to know Me: is because we are not deliberate with what we think about Me: we are not deliberate about fully thinking things out Me: we make up fancies, and create ideals out of them Me: but we never really think them through and never fully act upon them Me: so, lots of things get put off, lots of things don't end up getting done Me: because we're too impatient to sit down, think things through, and do them Me: it causes us and others frustration Jacob:",24551,2,104,0.144440609,1.0
frustration,frustration,0.01,0.01,2,"I'm thinking about romance, issues, what I need to do, frustration that I'll probably slack.",24650,12,14,0.144440609,1.0
profound,profound,0.01,0.01,1,My reasoning is either to profound (another word for idiotic) or my choice of topics to bland to cause another human being to be interested.,17738,5,5,0.146018244,1.0
boob,boobs,0.01,0.01,1,Apparently boobs sell booze out here.,12052,12,1,0.146018244,1.0
mundo,mundo,0.02,0.98,1,Kung bakit naman kasi di totoo yang lintik na mundo ni Harry Potter.,15791,11,9,0.14609425,1.0
gt,Gt,0.02,0.98,1,Gt my hands all stickly and dirty.,34735,3,0,0.14854949,1.0
qualified,QuALiFiEd,0.02,0.0,1,ThAt i WenT tO tHe dErMoTOLoGiSt To SeE iF i QuALiFiEd fOr ThIs sTuDy..AnD i DiD!,25266,12,10,0.14854949,1.0
salary,salaried,0.01,0.01,1,"This position turns out to be salaried and is forty hours instead of thirty six (three twelves and a four, weirdly enough).",31809,2,6,0.152721385,1.0
busy,Busy,0.01,0.01,10,Busy me.,4066,6,-1,0.154882992,0.99
busy,busying,0.01,0.01,10,"I realized last Wednesday that although I still miss Mama terribly, lately (because I've had so much work to do, and have been busying myself by hanging out with my friends) it doesn't  hurt  to miss Mama.",4067,7,27,0.154882992,0.99
busy,busied,0.01,0.01,10,"Now that we were determined to go on, devotees busied themselves with last-minute preparations, but all eyes were turned toward the street where the men would come from.",32127,172,10,0.154882992,0.99
busy,busying,0.01,0.01,10,i've been busying myself lately with trying to keep out of trouble.,35468,20,3,0.154882992,0.99
busy,busy,0.01,0.01,10,But for now that must wait while I busy myself with laundry and hoovers and unopened mail.,17464,12,8,0.154882992,0.99
busy,busying,0.01,0.01,10,"Then I met up with Jimmy first for lunch, Judy and Jenny joined a little later after busying with their own things.",34663,9,18,0.154882992,0.99
busy,busy,0.01,0.01,10,"as this blog unfolds i'm sure my master plans (plural; what master plan would be complete without at least one foolproof contingency?) will become clear, but for now i must go and busy myself with the ongoing preliminary stages.",140,7,38,0.154882992,0.99
busy,busying,0.01,0.01,10,but it is because I’m busying fighting for my right to have the half side of the little umbrella…….,17207,5,6,0.154882992,0.99
busy,busy,0.01,0.01,10,"Yep it's that time of year again when we must busy ourselves researching, reading, working, puking, and worrying about stupid research papers.",31535,7,11,0.154882992,0.99
busy,busied,0.01,0.01,10,i busied myself wit other's ppl tings n entertainin them lox..,17768,9,1,0.154882992,0.99
heartbeat,heartbeat,0.02,0.0,1,I was hearing my mothers heartbeat.,19749,15,5,0.156491063,1.0
bold,bold,0.01,0.0,1,"Marten, you should bold the end thingy in the template so it doesn't blend with everything else.",27936,15,4,0.158840842,1.0
gas,gassed,0.01,0.01,3,"This posting is not for or against the war -- just a reminder that a vote for it is a tacit acceptance of the possibility that the cost of the goal will not be professional soldiers, but your niece, burned or gassed or diseased or shot.",2318,11,43,0.159226954,1.0
gas,gasses,0.01,0.01,3,"pretty much he gets in front of the car, will puts it in reverse and gasses it, and the guy like pretty much lifts the car and pushes the 4runner out of the hole.",36785,21,16,0.159226954,1.0
gas,gassed,0.01,0.01,3,"Soon hundreds, maybe thousands will be gassed or diseased, and your suspicions will be quickly and effectively proved true!",2349,2,7,0.159226954,1.0
itu,iTu,0.02,0.98,1,iTu gw peNgen dapEtin buKunya a.S.a.p!,13795,29,-1,0.159350063,1.0
fingernail,fingernails,0.02,0.0,1,Napansin ko na mahahaba fingernails niya na french-manicured.,15801,36,4,0.16232618,1.0
flashback,flashback,0.02,0.0,1,"they slack on the job,  run off to the discos,  play with the walkie talkies,  practical jokes on each other,  run into couple making out in the underground carpark  relieve boredom by playing stupid games, making bets,  smuggle alcohol to the office, drink on the job,  work in rotating pairs, bitch about each other,  brag abt past heroics - stop terrorist strikes, cover-up conspiracy etc (can flashback to these  exaggerated annecdotes),   the sargeant plans the shifts for day and night,  they insult one another, try to change shifts so that they dun have to work with unpleasant  pple (i.e pple like themselves, the guy who didn't bathe, didn't wash his uniform, etc),  one guy brings a toy gun to work (innocent toy gun picked up from outside toys r us later becomes  the weapon which can save them?)",35406,7,88,0.16232618,1.0
harry,harried,0.01,0.98,3,"It smells like home, like a weekday dinnertime when a family's house is quiet after a day of harried activities and mouths are watering.",491,3,20,0.163471087,0.99
harry,harried,0.01,0.98,3,"Winter brings the snow that quiets and cleanses everything under its blanket, and this usually brings rest from the harried school days.",514,4,20,0.163471087,0.99
harry,harried,0.01,0.98,3,"Even through seasons when Rain is hardly to fall, she feels at a loss, confused, harried - the day will get warmer, rain will fall.",22289,11,18,0.163471087,0.99
bunch,bunch,0.01,0.01,8,and there we have it; my idea as to why (particularly at peak times where it is more likely that there are people at each stop) buses can bunch up in twos and threes.,146,44,31,0.163621839,1.0
bunch,bunching,0.01,0.01,8,"A:  Daddy, I think I know why my undies were bunching up, I think they are Blake's.",17305,6,13,0.163621839,1.0
bunch,bunched,0.01,0.01,8,A cruise was in port and normal flights all bunched up to.,22,10,9,0.163621839,1.0
bunch,bunched,0.01,0.01,8,"If you haven't driven past there just picture miles and miles of cows all bunched up together in a mound of filth, there, now you've got it.",16671,5,15,0.163621839,1.0
bunch,bunches,0.01,0.01,8,Kristin should be back later this week Luv ya bunches!!!,18577,3,9,0.163621839,1.0
bunch,bunching,0.01,0.01,8,A:  My undies keep bunching up my crack.,17305,5,6,0.163621839,1.0
bunch,bunched,0.01,0.01,8,"He had them all bunched up on one side of the shift, making it impossible for Cloud to shift gears without breaking one or both of Reno’s legs in the process.",11684,668,4,0.163621839,1.0
bunch,bunched,0.01,0.01,8,I can’t move it with your legs all bunched up like that.,11684,676,9,0.163621839,1.0
naya,Naya,0.02,0.98,1,Naya with her Gullah Gullahs (rocks)  urlLink     urlLink,17692,0,0,0.165427034,1.0
tempting,tEmptIng,0.03,0.0,1,hEhEHE tEmptIng her,32952,97,1,0.168660931,1.0
feedback,Feedback,0.01,0.01,2,"Feedback, anyone? :D",36133,15,0,0.169065907,0.99
feedback,Feedback,0.01,0.01,2,"Feedback  from  Soo Hian  Thursday, March 25, 2004 11:30 PM   hi  xai's idea is quite ok, but the ending is a bit weak... might need to work on it... becos the story might be quite predictable or absurd, like when the girl takes phots of the guy and threatens him...",35400,40,0,0.169065907,0.99
shoe,shoeing,0.01,0.01,6,"Now imagine me, shoeing a roach the size of a full grown cat out of the apartment with my roommie on the table in her bra and panties screaming her head of to kill it.",39404,18,4,0.169724948,1.0
shoe,shoe,0.01,0.01,6,"so I finally picked up a broom to shoe him out of the apartment, but that little bastard just stood his ground.",39404,17,8,0.169724948,1.0
shoe,shoes,0.01,0.01,6,You need someone who shoes you that you are special  and it makes you feel good to see that you are loved.,25758,4,4,0.169724948,1.0
shoe,SHOE,0.01,0.01,6,2)I shudder when I consider that the brother of John Belushi could have agreed to be in Curly Sue.   SHOE MONEY TONIGHT!!!!,15694,18,21,0.169724948,1.0
shoe,shoes,0.01,0.01,6,You need someone who shoes you that you are special  and it makes you feel good to see that you are loved.,16545,4,4,0.169724948,1.0
shoe,SHOE,0.01,0.01,6,"Some common inconsistencies:  Pattern Examples  How they are pronounced   words containing 'ough' thought, bought, fought, brought  enough, rough, tough, slough  through   though, although, dough, thorough  cough  bough, doughty   end with sound of 'ot' as in POT, NOT  end with sound of 'uff' as in STUFF  ends with sound of Long U, as in the word THREW or SHOE  end with the sound of Long O, as in NO or GO  ends with the sound 'OFF  contain the same sound as 'COW' or 'NOW'     Words that sound the same but are spelled differently.",17930,9,-1,0.169724948,1.0
belief,belief,0.01,0.01,3,when i went back to the doctor he couldn't belief my lack of progress.,4827,17,10,0.170056566,1.0
belief,belief,0.01,0.01,3,"erm,..they gonna have it published,... gave me the copy-right copy,.. also state that it'll be make in a table mat form,..wahhh,... still dun belief it,....",13843,2,37,0.170056566,1.0
belief,beliefs,0.01,0.01,3,And I love that he beliefs in god so strongly.,39007,6,5,0.170056566,1.0
purpose,Purpose,0.01,0.01,4,Purpose with innocence.,29414,35,0,0.170790379,1.0
purpose,purposes,0.01,0.01,4,"For all intents and purposes my initial, but admittedly cursory, inspection of these textile products led me to believe that they were of shoddy construction and decidedly uncomfortable both in shape and material texture.",19580,22,4,0.170790379,1.0
purpose,purposes,0.01,0.01,4,I have complete faith that God will use this time for whatever He purposes.,18445,8,13,0.170790379,1.0
purpose,purposes,0.01,0.01,4,"Create a standard that says, 'God is in control, and He purposes things to happen.'",24650,33,14,0.170790379,1.0
scotland,scotland,0.03,0.97,1,i don't want to play any more.   recent ringtones that surprised: scotland the brave.,162,13,15,0.172036949,1.0
whirlwind,whirlwind,0.03,0.0,1,So on Mondays I whirlwind through the house throwing laundry in and out of the washer and cleaning like a maniac.,9572,11,4,0.172036949,1.0
oop,oops,0.01,0.01,1,oops one too many hee hees,1872,0,0,0.172836101,1.0
sheet,sheeting,0.01,0.01,3,Note that the water is  sheeting  over the sand on the beach.,6004,5,6,0.17531886,1.0
sheet,sheeting,0.01,0.01,3,"Heavy rolls of thunder, grumbling around the area, lightening sheeting across the steely sky.",14218,1,11,0.17531886,1.0
sheet,sheets,0.01,0.01,3,"so here you are: last night: ben sheets Mil: he turned in the performance of the night and left w/ a ND.  9 innings of 1-hit scoreless ball, but the game went to 15 i believe.",854,4,9,0.17531886,1.0
cushion,cushion,0.03,0.0,1,yet strong enuff to cushion you from all the pain n hurt.,26451,9,4,0.175565026,1.0
colleague,colleagues,0.01,0.02,1,"As noted by van Vuuren and colleagues other yeasts that have been created experimentally with interesting properties:  • Resistance to toxins that kill yeasts  • Can convert sugar to lactic acid  • Breaks down grape particles in must for greater color and juice and better precipitation of particulate matter  • Enhancing glycerol production for greater extract and mouth feel  • Cleaves glycosidic link of bouquet precursors for greater floral aromas  Linda Bisson, a professor at UC Davis, regards a special goal in warm climates creating yeast that converts sugar to alcohol less efficiently, likely by producing other beneficial compounds.",21914,135,6,0.176276302,1.0
chance,chance,0.01,0.01,13,then again...if i had the chance to chance the past also...,14078,2,7,0.180091993,1.0
chance,chanced,0.01,0.01,13,"I chanced upon this Blog, as how web surfing usually goes, by clicking link to link to link.",300,1,1,0.180091993,1.0
chance,chance,0.01,0.01,13,"Truthfully, the hubby didn't want to chance crossing the Mohave and getting another ticket.",23784,3,8,0.180091993,1.0
chance,chanced,0.01,0.01,13,"We then chanced upon a crowd of people who had gathered around a particular street vendor, who had a small tv with the Wimbledon Finals on... and we stayed to watch.",17517,14,2,0.180091993,1.0
chance,chance,0.01,0.01,13,"I don't want to see those students again, I don't want to chance running into the old teacher in the hall... which would be a little easier to guarantee if I knew where my new classroom is, but I don't.",25858,4,15,0.180091993,1.0
chance,chance,0.01,0.01,13,Today I was unfortunate enough to chance upon one that was a diary of a tormented and life of pure idiocrasy.,964,2,6,0.180091993,1.0
chance,chanced,0.01,0.01,13,"In stalking a Henry James phrase she wanted to include in the 15th edition, she considered skimming his entire works, but chanced upon a magazine article about Truman Capote that attributed the lines to 'The Middle Years,' an autobiography of James.",9111,5,23,0.180091993,1.0
