sentence,verb,dep set,doc index,sent index,index of verb
bugs absolutely ate me alive.,ate,advcl_nsubj_advmod_dobj,10564,15,2
i made the minimum $15 donation so i could get the berkeley engineering travelling mug-,made,advcl_dobj_nsubj,37048,9,1
Guess not.,Guess,neg,15425,9,0
i can honestly say that i love the word 'panty.',love,dobj_mark_nsubj_oprd,2860,0,6
getting the fire onto the food only ends up in the food being badly burnt.well,getting,dobj_prep,16594,33,0
urlLink,urlLink,,18004,0,0
Now i hate that Fandango commercial.,hate,advmod_dobj_nsubj,35485,0,2
"Then we reached the age which ritualistically cast us to the cold dark world full of wolves and instead of writer satisfaction, we spent a lifetime working at a job we hated.",working,prep,31645,14,27
"i'm really happy for her, i'm glad she feels good there and people aren't terrorizing her.",feels,conj_nsubj_cc_advmod_acomp,26955,10,11
I gotta get out of this house!!!,get,prep_aux,9968,11,3
"and also, why is fighting and killing one another, even other muslims, such a priority for them?",fighting,conj_aux_cc_advmod,33752,55,5
I juz can't find someone tt I can express my feelings to yet.,find,neg_nsubj_aux_dobj,21859,38,4
Even he loves the Diva ;)  Diva out.,loves,advmod_dobj_nsubj,4584,2,2
"The Chalice is used mainly to make drink-offerings, and to pass on blessings.",make,conj_aux_cc_dobj,31773,26,6
"It warms my heart to see the French and Italians protesting against George and his policies, not all Americans.",warms,nsubj_xcomp_dep_dobj,26728,5,1
"we live in a world in which self-help books clog the shelves, therapy is commonplace, and suicide is prevalent.",clog,nsubj_dobj_prep,33930,4,11
"me> for hygein purposes, i guess...  him> but we bath n wash up everyday right?",wash,advmod_prt_nsubj,32954,53,16
"Anyways, I simply must go now and jump in the bathtub, I trained with Terri at 8 this morning, then I did an hour of cardio and now I'm all sweaty...",trained,ccomp_nsubj_prep_npadvmod,38852,20,14
I pulled myself away with my last vestige of dignity (I was admiring them alongside a six-year-old) and left to find my mom and youngest brother.,find,dobj_aux,4678,17,26
so yeah me and my grandma went to the midnight show for spiderman 2 and saw like everyone from valley lol.,saw,prep,18583,0,15
"(we had called earlier and they said earliest was 930, which was too late cuz we had plans at 930).",said,advmod_nsubj_ccomp,37105,14,7
:)   Thanks for reading..please feel free to sound off!,feel,acomp_intj_nsubj,18380,46,7
What did I do today?,do,nsubj_aux_dobj_npadvmod,4066,7,3
"But, after they had gone I knew.",gone,mark_nsubj_aux,10999,8,5
By the way: I quit writing on Sebastians page...,quit,nsubj_dobj_prep,23360,16,5
I don't know.,know,neg_nsubj_aux,23606,7,3
saturday night we drove out to my friend's place in westLA and went to see 'van helsing'.,went,advcl,37187,17,13
"Surely people understand pictures, right?",understand,advmod_dobj_nsubj,28812,19,2
you know the drill.,know,dobj_nsubj,34058,9,1
"At least on this blog, I only update when I truly feel like it.",feel,prep_advmod_nsubj,31751,5903,12
The lifestyle that allows them to burn the flag without being arrested or shot.,arrested,conj_cc_auxpass,3173,9,11
Good luck Leo we will be cheering for you.,cheering,prep_nsubj_aux_npadvmod,22449,11,6
she felt bad and kept apologizing.,apologizing,,13020,4,5
I am really hating life right now.,hating,nsubj_aux_advmod_dobj,33410,20,3
"Eventually, Andreychuk came back, and I interviewed him for SportsCenter.",came,conj_nsubj_cc_advmod,37321,17,3
we just went to cold stone!,went,prep_advmod_nsubj,12992,11,2
In his spare time Pete surfed.,surfed,nsubj_prep,13158,22,5
urlLink,urlLink,,10972,30,0
"I like getting change when I pay for something... but can change only come from paying something, exchanging it for something of value.. for something that less?",pay,prep_advmod_nsubj,38381,2,6
"I just finished Stephen Dunn? book  Different Hours , the book that won him the Pulitzer Prize.",finished,advmod_dobj_nsubj,16872,7,2
That's more than I spend on average in like a month!,spend,prep_mark_nsubj,24697,47,5
"I need to realize, although I wish I had a real family, it will never happen.",need,nsubj_xcomp,13441,9,1
i lyk her 2 a certain xtent..,lyk,npadvmod_dobj_nsubj,26828,50,1
one of my parents' friends works there and they had me forward my resume to him.,works,advmod_conj_nsubj_cc,37121,11,6
"Arisa: thank you for that beautiful entry, mike...it really moves rangele to say some pretty wonderful things...",moves,advmod_dobj_advcl_nsubj,33152,24,13
Only to find... everyone fighting!,find,ccomp_advmod_aux,6520,1,2
"Insteadofgetting'i-pretend-i-care'fromsomeonewhydon'tIjuststayalone,soIwouldntgethurt?",pretend,advmod_dobj_dep,21165,7,2
"Without new experiences, we would never learn anything, and never fully appreciate life.",learn,conj_neg_nsubj_prep_aux_cc_dobj,20889,20,7
